id,user,like,dislike,followers
1,lmalletratt0,1412,1694,16234
2,skilmurray1,267,2622,11058
7,epetr6,565,2392,15376
8,pcucinotta7,1572,2660,17127
10,mduerden9,144,2894,19989
11,bdurstona,1784,1957,12136
16,gpettettf,2697,2924,10486
17,dgifkinsg,577,1900,19449
25,hdaykino,2103,2189,18815
29,gmerrgans,593,1420,17824
35,cmarshamy,128,1113,18301
36,flagez,138,1346,19017
37,loates10,269,1414,13326
46,aferneyhough19,351,842,16641
48,ahodgins1b,293,723,17434
49,mboycott1c,786,2428,13401
51,jnorsworthy1e,139,416,19370
53,jsaing1g,92,3193,15160
55,ctabour1i,368,1001,13865
57,mchastaing1k,1817,2921,19583
61,szupo1o,1803,1951,14835
64,snoller1r,333,2525,14811
66,eantusch1t,684,1751,10343
67,chintzer1u,714,3224,12306
71,tmckeaney1y,322,2040,17413
75,agehringer22,55,266,15025
79,kklemencic26,1076,2627,10304
80,mvossgen27,785,3127,19997
81,lnorcliff28,1438,1491,17038
87,dkeilty2e,942,2170,12144
89,cgrimsdell2g,1492,2343,10270
90,malexis2h,1247,1392,14248
100,bgreser2r,781,2947,13889
